,YearWeek,FlightsPerWeek,DelaysPerWeek,PercDelaysPerWeek
44,2004-5,132308,4126,0.031184811198113494
45,2004-50,136079,2763,0.020304382013389282
46,2004-51,137705,1863,0.013528920518499691
47,2004-52,137156,5833,0.04252821604596226
48,2004-53,136442,2446,0.017927031266032453
49,2004-6,132659,3462,0.026096985504187428
50,2004-7,133315,1967,0.014754528747702809
51,2004-8,134881,963,0.007139626782126467
52,2004-9,134540,2643,0.01964471532629701
0,2005-1,135912,4487,0.03301400906468892
1,2005-10,139137,2563,0.018420693273536154
2,2005-11,139426,1584,0.011360865261859338
3,2005-12,139101,2216,0.01593087037476366
4,2005-13,139439,2752,0.019736228745186067
5,2005-14,139135,850,0.006109174542710317
6,2005-15,139123,733,0.005268719047174083
7,2005-16,139103,1305,0.009381537421910382
8,2005-17,139069,1781,0.012806592410961465
9,2005-18,139839,997,0.007129627643218272
10,2005-19,139420,1216,0.008721847654568928
11,2005-2,134179,2710,0.02019690115442804
12,2005-20,139160,1408,0.010117849956884162
13,2005-21,136826,2087,0.015252949000920878
14,2005-22,138779,2670,0.019239222072503764
15,2005-23,141402,3223,0.0227931712422738
16,2005-24,142629,1458,0.010222325053109816
17,2005-25,142823,1653,0.011573766130105094
18,2005-26,140112,3693,0.026357485440219253
19,2005-27,141812,3841,0.027085154993935632
20,2005-28,143181,6317,0.044118982267200256
21,2005-29,143200,3018,0.021075418994413408
22,2005-3,134100,3721,0.027747949291573454
23,2005-30,143113,2686,0.018768385820994597
24,2005-31,143804,3264,0.02269756056855164
25,2005-32,143748,3921,0.027276901243843393
26,2005-33,142411,2989,0.020988547233008685
27,2005-34,140009,1116,0.007970916155390011
28,2005-35,134995,1201,0.008896625800955592
29,2005-36,134463,398,0.0029599220603437376
30,2005-37,133687,1283,0.009597043841211187
31,2005-38,133682,1760,0.013165572029143788
32,2005-39,133647,1157,0.008657134092048456
33,2005-4,133825,2291,0.01711937231458995
34,2005-40,134437,1653,0.012295722159822072
35,2005-41,134432,2433,0.018098369435848607
36,2005-42,134486,651,0.004840652558630638
37,2005-43,134352,632,0.004704060974157437
38,2005-44,133166,1358,0.010197798236787167
39,2005-45,133045,737,0.005539479123604796
40,2005-46,133616,1567,0.01172763740869357
41,2005-47,127195,2130,0.016745941271276387
42,2005-48,131093,2796,0.02132836993584707
43,2005-49,128073,3513,0.027429669016888807
44,2005-5,134661,1267,0.009408811756930365
45,2005-50,129880,2985,0.022982753310748383
46,2005-51,129422,1584,0.012239032003832424
47,2005-52,130659,2040,0.015613160976281772
48,2005-6,135373,1401,0.010349183367436638
49,2005-7,136819,1601,0.011701591153275495
50,2005-8,138075,2968,0.021495564005069707
51,2005-9,138423,1607,0.011609342378073009
0,2006-1,133959,2677,0.019983726364036756
1,2006-10,136142,1999,0.014683198425173715
2,2006-11,136370,2808,0.020591039084842708
3,2006-12,136412,1965,0.014404891065302173
4,2006-13,136784,1418,0.010366709556673294
5,2006-14,137363,2369,0.0172462744698354
6,2006-15,137280,849,0.006184440559440559
7,2006-16,137583,1838,0.013359208623158385
8,2006-17,136704,1573,0.011506612827715356
9,2006-18,136520,1523,0.011155874597128626
10,2006-19,136475,2038,0.014933137937351163
11,2006-2,130622,1768,0.013535239086830702
12,2006-20,136540,1477,0.010817342903178555
13,2006-21,134153,1527,0.01138252592189515
14,2006-22,135978,3580,0.026327788318698614
15,2006-23,138496,1467,0.010592363678373382
16,2006-24,140237,2135,0.015224227557634576
17,2006-25,140280,4658,0.03320501853435985
18,2006-26,139956,3294,0.02353596844722627
19,2006-27,137272,2816,0.02051401596829652
20,2006-28,141891,1824,0.012854937945324227
21,2006-29,141956,3774,0.026585702612076982
22,2006-3,130337,2074,0.015912595809325056
23,2006-30,141951,2761,0.01945037372050919
24,2006-31,142184,2016,0.014178810555336747
25,2006-32,142230,2918,0.020516065527666456
26,2006-33,141823,1294,0.009124048990643266
27,2006-34,141142,2552,0.018081081464057475
28,2006-35,137472,2308,0.01678887337057728
29,2006-36,137612,1490,0.010827544109525333
30,2006-37,137251,3470,0.02528214730675915
31,2006-38,137102,2125,0.015499409198990533
32,2006-39,137050,832,0.006070777088653776
33,2006-4,130302,1062,0.008150297002348391
34,2006-40,138040,1640,0.011880614314691394
35,2006-41,138072,2920,0.021148386349151168
36,2006-42,138068,2973,0.021532867862212823
37,2006-43,137958,2654,0.019237739022021194
38,2006-44,137517,778,0.005657482347637019
39,2006-45,137791,1900,0.013788999281520564
40,2006-46,138213,2542,0.018391902353613626
41,2006-47,131346,917,0.006981560154096813
42,2006-48,137891,2991,0.02169104582605101
43,2006-49,136758,844,0.006171485397563579
44,2006-5,130390,1454,0.011151161898918628
45,2006-50,137842,2197,0.01593853832648975
46,2006-51,138366,3683,0.026617810733850802
47,2006-52,135387,2754,0.020341687163464735
48,2006-6,131569,1490,0.01132485615912563
49,2006-7,133362,3736,0.028013976994946087
50,2006-8,134864,2278,0.016891090283544904
51,2006-9,135107,1437,0.01063601441820187
0,2007-1,141364,2143,0.015159446535185762
1,2007-10,144394,1288,0.008920038228735267
2,2007-11,144819,2680,0.018505859037833434
3,2007-12,144818,1414,0.009763979615793617
4,2007-13,144778,2306,0.015927834339471467
5,2007-14,144433,1629,0.011278585918730485
6,2007-15,143817,2798,0.019455279973855665
7,2007-16,142679,1055,0.007394220593079571
8,2007-17,142480,1767,0.012401740595171252
9,2007-18,142838,1699,0.011894593875579328
10,2007-19,142977,1855,0.012974114717751806
11,2007-2,139730,2162,0.01547269734487941
12,2007-20,143360,1692,0.011802455357142857
13,2007-21,140245,1998,0.014246497201326251
14,2007-22,142816,3198,0.022392449025319294
15,2007-23,146197,2447,0.01673768955587324
16,2007-24,147969,4767,0.03221620744885753
17,2007-25,148070,2446,0.01651921388532451
18,2007-26,148192,6563,0.044287141006262146
19,2007-27,139812,3083,0.02205103996795697
20,2007-28,148152,2940,0.01984448404341487
21,2007-29,148293,3639,0.02453925674172078
22,2007-3,139647,5805,0.04156909922876968
23,2007-30,148246,3205,0.021619470339840536
24,2007-31,148067,3317,0.022402020706842173
25,2007-32,148172,2379,0.016055665037928893
26,2007-33,147887,2613,0.017668895846152805
27,2007-34,145682,2712,0.018615889402946142
28,2007-35,140719,2062,0.014653316183315685
29,2007-36,141712,1248,0.008806593654736367
30,2007-37,141558,2025,0.014305090492942821
31,2007-38,141546,784,0.005538835431591144
32,2007-39,141437,1073,0.007586416567093476
33,2007-4,139631,1410,0.01009804413060137
34,2007-40,142004,1037,0.007302611194050871
35,2007-41,142150,1375,0.009672880759760817
36,2007-42,141998,2370,0.016690375920787617
37,2007-43,141932,1748,0.012315756841304287
38,2007-44,141311,322,0.002278661958375498
39,2007-45,142798,498,0.0034874438017339178
40,2007-46,142978,777,0.005434402495488816
41,2007-47,134683,2315,0.017188509314464334
42,2007-48,141795,2227,0.01570577241792729
43,2007-49,140148,3060,0.021834061135371178
44,2007-5,139448,3217,0.023069531294819576
45,2007-50,141010,4610,0.03269271682859372
46,2007-51,144078,3375,0.023424811560404782
47,2007-52,134752,3271,0.024274222274994064
48,2007-6,139451,2165,0.01552516654595521
49,2007-7,141378,5136,0.03632814157789755
50,2007-8,143528,3000,0.0209018449361797
51,2007-9,143593,2751,0.019158315516773102
0,2008-1,137616,2435,0.01769416346936403
1,2008-10,139662,3708,0.026549813120247453
2,2008-11,139817,1647,0.011779683443358105
3,2008-12,139749,2429,0.017381161940335888
4,2008-13,139871,1299,0.009287128854444453
5,2008-14,139558,2919,0.02091603491021654
6,2008-15,139381,1395,0.010008537749047575
7,2008-16,139302,621,0.004457940302364647
8,2008-17,139282,964,0.006921210206631151
9,2008-18,138598,1428,0.01030317897805163
10,2008-19,138011,1175,0.008513814116266095
